,id,imdb_id,production_company
0,2.0,tt0112499,Walt Disney Pictures
1,175.0,tt0112499,Caravan Pictures
0,14.0,tt0113158,Miramax Films
1,7832.0,tt0113158,CiBy 2000
0,7320.0,tt0113541,Telefilm Canada
1,10260.0,tt0113541,Melenny Productions
0,4.0,tt0113321,Paramount Pictures
1,802.0,tt0113321,Egg Pictures
2,1382.0,tt0113321,PolyGram Filmed Entertainment
0,4.0,tt0113419,Paramount Pictures
1,441.0,tt0113419,Columbia Pictures Corporation
2,862.0,tt0113419,The Kennedy/Marshall Company
0,4.0,tt0116260,Paramount Pictures
0,915.0,tt0113862,Hollywood Pictures
1,916.0,tt0113862,The Charlie Mopic Company
2,1382.0,tt0113862,PolyGram Filmed Entertainment
3,10201.0,tt0113862,Interscope Communications
0,14.0,tt0116126,Miramax Films
1,3492.0,tt0116126,Island Pictures
2,5441.0,tt0116126,Ivory Way Productions
0,6194.0,tt0118002,Warner Bros.
1,10210.0,tt0118002,Morgan Creek Productions
0,8411.0,tt0115683,Metro-Goldwyn-Mayer (MGM)
1,11061.0,tt0115683,Motion Picture Corporation of America (MPCA)
2,36390.0,tt0115683,3 Arts Entertainment
3,38003.0,tt0115683,Weasel Productions
0,12.0,tt0116839,New Line Cinema
0,14.0,tt0114753,Miramax Films
0,82.0,tt0113149,Renn Productions
1,1614.0,tt0113149,Les Films Flam
2,3823.0,tt0113149,TF1 Films Production
3,5358.0,tt0113149,Canal+
0,12.0,tt0113118,New Line Cinema
0,59.0,tt0116367,A Band Apart
1,7405.0,tt0116367,Dimension Films
2,11705.0,tt0116367,Los Hooligans Productions
3,53009.0,tt0116367,Miramax
0,1885.0,tt0113010,Silver Pictures
1,6194.0,tt0113010,Warner Bros.
0,5841.0,tt0113537,Castleberg Productions
1,5842.0,tt0113537,Sandollar Productions
0,1742.0,tt0113828,Les Films 13
1,5358.0,tt0113828,Canal+
2,22123.0,tt0113828,TF1
0,12.0,tt0115644,New Line Cinema
1,4286.0,tt0115644,Juno Pix
0,6194.0,tt0115676,Warner Bros.
1,10210.0,tt0115676,Morgan Creek Productions
0,3388.0,tt0114367,The Movie Network (TMN)
1,4899.0,tt0114367,Allegro Films
2,7958.0,tt0114367,Fuji Eight Company Ltd.
3,23096.0,tt0114367,Fries Film Group
4,23097.0,tt0114367,Super Ecran
5,23098.0,tt0114367,Triumph Films
0,4606.0,tt0113973,Zweites Deutsches Fernsehen (ZDF)
1,83201.0,tt0113973,Ciak Filmproduktion
2,93174.0,tt0113973,Bluehorse Films
0,14.0,tt0112744,Miramax Films
0,441.0,tt0116731,Columbia Pictures Corporation
0,38953.0,tt0112445,I.R.I.B. Channel 2
1,38954.0,tt0112445,Ferdos Films
0,14.0,tt0114660,Miramax Films
0,575.0,tt0112379,Bergen Film
1,576.0,tt0112379,Bard Entertainments
2,577.0,tt0112379,NPS Televisie
0,38196.0,tt0114039,BET Pictures
1,38197.0,tt0114039,United Image Entertainme
0,2492.0,tt0112365,Playhouse International Pictures
1,8888.0,tt0112365,The Samuel Goldwyn Company
0,915.0,tt0118158,Hollywood Pictures
1,1644.0,tt0118158,Largo Entertainment
2,1645.0,tt0118158,Scott Free Productions
0,306.0,tt0116151,Twentieth Century Fox Film Corporation
1,3311.0,tt0116151,Joe Wizan/Todd Black
0,4.0,tt0115697,Paramount Pictures
0,4.0,tt0113972,Paramount Pictures
0,14.0,tt0113490,Miramax Films
1,4665.0,tt0113490,Addis Wechsler Pictures
0,559.0,tt0117002,TriStar Pictures
1,18737.0,tt0117002,NFH Productions
0,4.0,tt0114825,Paramount Pictures
0,14.0,tt0115639,Miramax Films
1,979.0,tt0115639,Woods Entertainment
0,306.0,tt0115759,Twentieth Century Fox Film Corporation
1,456.0,tt0115759,WCG Entertainment Productions
2,11362.0,tt0115759,Mark Gordon Productions
0,97.0,tt0113403,Castle Rock Entertainment
1,75942.0,tt0113403,Midwinter Films
0,802.0,tt0113247,Egg Pictures
1,1382.0,tt0113247,PolyGram Filmed Entertainment
2,5358.0,tt0113247,Canal+
3,5869.0,tt0113247,Les Productions Lazennec
4,16366.0,tt0113247,La Sept Cinéma
5,22684.0,tt0113247,Kasso Inc. Productions
6,68517.0,tt0113247,Studio Image
7,68518.0,tt0113247,Cofinergie 6
0,181.0,tt0111173,Channel Four Films
0,3324.0,tt0113283,British Broadcasting Corporation (BBC)
1,7025.0,tt0113283,Westdeutscher Rundfunk (WDR)
2,12113.0,tt0113283,Canadian Broadcasting Corporation (CBC)
